GRAND,NAME,RIVER,STATE,YEAR,HEIGHT,LEN,AREA_SKM,CAP_MCM,DIS_AVG_LS,MAIN_USE,QUALITY,LONG,LAT
126,Iron Canyon,Iron Canyon Creek,California,1965,65,316,1.27,30,492,Water supply,2: Good,-121.984375,41.044408
127,Pit 3,Pit River,California,1925,37,151,2.91,42.7,39946,Water supply,2: Good,-121.671875,41.022769
128,Red Rock 1,Red Rock Creek,California,1893,19,148,2.14,12.3,254,Irrigation,2: Good,-120.136727,40.969544
121,Shasta River,Shasta River,California,1928,29,380,5.53,61.7,4790,Irrigation,2: Good,-122.376042,41.539004
122,Box Canyon,Sacramento River,California,1970,64,335,1.53,32.1,5790,Flood control,2: Good,-122.328648,41.282818
123,West Valley,West Valley Creek,California,1936,20,93,2.95,28.4,448,Irrigation,2: Good,-120.411521,41.221299
124,McCloud,McCloud River,California,1965,73,201,1.66,43.5,14994,Water supply,2: Good,-122.07314,41.132236
117,Copco 1,Klamath River,California,1917,76,125,3.66,58,58745,Hydroelectricity,2: Good,-122.329902,41.981246
118,Iron Gate,Klamath River,California,1962,53,226,3.69,71.5,67249,Other,2: Good,-122.434547,41.935837
120,Big Sage,Rattlesnake Creek,California,1921,15,207,17.24,95,558,Irrigation,2: Good,-120.626835,41.580335
113,Hyatt Dam,Keene Creek,Oregon,1921,16,580,3.02,20,324,Irrigation,2: Good,-122.467427,42.173159
114,Emigrant,Emigrant Creek,Oregon,1923,62,580,2.21,48.1,1839,Irrigation,2: Good,-122.606267,42.159508
115,Drews Reservoir,Drews Creek,Oregon,1914,19,183,13.74,80.2,407,Irrigation,2: Good,-120.619107,42.121418
116,Applegate Dam,Applegate River,Oregon,1980,74,366,2.21,110.2,11932,Irrigation,2: Good,-123.113916,42.054661
109,Cottonwood Reservoir,Cottonwood Creek,Oregon,1962,19,238,1.77,14.1,142,Irrigation,2: Good,-120.509702,42.24474
110,Link River Diversion,Klamath River,Oregon,1921,7,579,276.63,646,54854,Hydroelectricity,2: Good,-121.811463,42.238815
111,Howard Prairie,Jenny Creek,Oregon,1957,30,580,6.39,74.7,1173,Irrigation,2: Good,-122.378342,42.217605
112,Gerber,Miller Creek,Oregon,1925,27,579,13.21,116.3,1341,Irrigation,2: Good,-121.125647,42.200573
105,Thompson Valley Reservoir,Silver Creek,Oregon,1922,15,88,8.06,37.6,289,Irrigation,2: Good,-121.086072,42.959227
106,Galesville Reservoir,Cow Creek,Oregon,1985,51,290,1.53,52.1,3601,Recreation,2: Good,-123.176785,42.84762
107,William L. Jess,Rogue River,Oregon,1976,105,1097,11.34,616.7,34323,Flood control,2: Good,-122.672183,42.672829
108,Four Mile Lake Dam,,Oregon,1916,17,488,2.7,40.7,378,Irrigation,2: Good,-122.244487,42.456756
101,Wickiup Reservoir,Deschutes River,Oregon,1913,32,4317,37.84,267,25326,Irrigation,2: Good,-121.690207,43.68125
102,Crescent Lake,Crescent Creek,Oregon,1955,12,579,15.11,107.2,3963,Irrigation,2: Good,-121.971611,43.500474
103,Lemolo 1,North Umpqua River,Oregon,1955,37,270,1.44,14.5,11594,Hydroelectricity,2: Good,-122.19246,43.321502
104,Berry Creek Dam,Berry Creek,Oregon,1980,45,250,0.76,18.5,1471,Water supply,2: Good,-123.556589,43.043562
97,Dorena,Row River,Oregon,1949,47,1006,4.16,161.6,21781,Flood control,2: Good,-122.954278,43.78714
98,Crane Prairie,Deschutes River,Oregon,1939,11,579,18.28,68.2,14724,Irrigation,2: Good,-121.793773,43.760449
99,Cottage Grove,Coast Fork of Willamette River,Oregon,1942,31,643,2.54,61.7,7558,Flood control,2: Good,-123.05623,43.714163
100,Hills Creek,Middle Fork of Willamette River,Oregon,1962,104,681,7.39,439.1,32820,Flood control,2: Good,-122.421703,43.708548
11,Ketchikan Lakes,Ketchikan Creek,Alaska,1957,10,354,2.35,17,1708,Hydroelectricity,2: Good,-131.621875,55.360909
3,Blue Lake,Sawmill Creek,Alaska,1961,44,78,4.87,179.1,8031,Hydroelectricity,2: Good,-135.200305,57.062136
4,Green Lake,Vodopad River,Alaska,1982,64,141,4.14,115.9,7874,Hydroelectricity,2: Good,-135.112812,56.986785
61,Alder,Nisqually River,Washington,1945,101,453,10.03,297.5,34656,Hydroelectricity,2: Good,-122.311681,46.800766
62,Skookumchuck,Skookumchuck River,Washington,1970,49,408,1.91,74,5381,Hydroelectricity,2: Good,-122.717038,46.784269
63,Tieton,Tieton River,Washington,1924,97,580,8.22,244.2,9112,Irrigation,2: Good,-121.128322,46.654792
64,Mossyrock,Cowlitz River,Washington,1968,185,533,38.41,2078.4,150930,Hydroelectricity,2: Good,-122.422715,46.53478
58,Cle Elum,Cle Elum River,Washington,1932,50,580,16.67,539,18711,Irrigation,2: Good,-121.072917,47.249008
60,Bumping Lake,Bumping River,Washington,1909,19,582,4.79,41.6,4847,Irrigation,2: Good,-121.302083,46.86875
54,Wynoochee,Wynoochee River,Washington,1973,53,518,3.03,93.7,7191,Water supply,2: Good,-123.604561,47.386357
55,Keechelus,Yakima River,Washington,1916,39,584,9.2,194.9,5800,Irrigation,2: Good,-121.340171,47.323654
49,Chelan Dam,Chelan River,Washington,1927,12,149,127.7,834,50039,Hydroelectricity,2: Good,-120.024027,47.839731
